GeneName	GeneID	EventNumber	EventType	GPos	Path.1	Path.2	Path.Reference	tran_P1	tran_P2	tran_Ref
ENSG00000237491.8_27	26	27	Complex Event	1:804222-807217	27-28,28-28,28-29	27-36	27-27	ENST00000429505.5|ENST00000590848.5|ENST00000591440.5|ENST00000587530.5|ENST00000593022.5|ENST00000589531.5|ENST00000586288.1	ENST00000588951.5	ENST00000429505.5|ENST00000591440.5|ENST00000587530.5|ENST00000593022.5|ENST00000588951.5|ENST00000589531.5|ENST00000590848.5|ENST00000586288.1
ENSG00000237491.8_31	26	31	Complex Event	1:804222-807217	32-36	27-36	36-36	ENST00000589531.5|ENST00000586288.1|ENST00000443772.1|ENST00000412115.1	ENST00000588951.5	ENST00000443772.1|ENST00000588951.5|ENST00000412115.1|ENST00000586288.1|ENST00000589531.5
ENSG00000237491.8_33	26	33	Complex Event	1:807323-809658	38-40,40-40,40-41	38-41	41-41	ENST00000412115.1	ENST00000588951.5	ENST00000412115.1|ENST00000588951.5
ENSG00000228794.8_15	28	15	Alternative First Exon	1:829104-841200	13-13,13-14	12-14	14-14	ENST00000415295.1	ENST00000441765.5|ENST00000609139.5	ENST00000609139.5|ENST00000441765.5|ENST00000415295.1
ENSG00000228794.8_16	28	16	Complex Event	1:841373-851927	14-15,15-15	14-23	14-14	ENST00000441765.5|ENST00000415295.1	ENST00000609139.5	ENST00000609139.5|ENST00000441765.5|ENST00000415295.1
ENSG00000228794.8_17	28	17	Alternative First Exon	1:825138-847654	1-1,1-17	12-17	17-17	ENST00000624927.3	ENST00000448975.6|ENST00000610067.5|ENST00000608189.4|ENST00000449005.5|ENST00000416570.5|ENST00000609009.5	ENST00000624927.3|ENST00000448975.6|ENST00000610067.5|ENST00000608189.4|ENST00000449005.5|ENST00000416570.5|ENST00000609009.5
ENSG00000228794.8_19	28	19	Complex Event	1:852110-853391	30-31,31-31,31-32	27-32	32-32	ENST00000445118.6|ENST00000449005.5	ENST00000623070.3	ENST00000623070.3|ENST00000449005.5|ENST00000445118.6
ENSG00000187634.10_2	33	2	Complex Event	1:931089-942410	8-27	8-9	7-8,8-8	ENST00000620200.4	ENST00000420190.5|ENST00000437963.5|ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618323.4|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8	ENST00000420190.5|ENST00000437963.5|ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618323.4|ENST00000618779.4|ENST00000620200.4|ENST00000622503.4|ENST00000341065.8
ENSG00000187634.10_3	33	3	Complex Event	1:935805-941172	10-11,11-11,11-12,12-12	10-20	9-10,10-10	ENST00000420190.5|ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618181.4|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8	ENST00000618323.4	ENST00000420190.5|ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618181.4|ENST00000618323.4|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8
ENSG00000187634.10_4	33	4	Complex Event	1:939460-942136	16-23	16-19	15-16,16-16	ENST00000616016.4	ENST00000342066.7|ENST00000622503.4|ENST00000455979.1	ENST00000342066.7|ENST00000616016.4|ENST00000622503.4|ENST00000455979.1
ENSG00000187634.10_5	33	5	Retained Intron	1:942251-942410	25-26,26-26,26-27	25-27	24-25,25-25	ENST00000464948.1	ENST00000342066.7|ENST00000616016.4|ENST00000618323.4|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8|ENST00000455979.1|ENST00000474461.1|ENST00000466827.1	ENST00000342066.7|ENST00000616016.4|ENST00000618323.4|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8|ENST00000455979.1|ENST00000474461.1|ENST00000466827.1|ENST00000464948.1
ENSG00000187634.10_8	33	8	Complex Event	1:943808-943908	34-35,35-35,35-36	34-36	31-32,32-32,32-33,33-33,33-34,34-34,36-36	ENST00000455979.1	ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618181.4|ENST00000618323.4|ENST00000618779.4|ENST00000620200.4|ENST00000622503.4|ENST00000341065.8	ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618181.4|ENST00000618323.4|ENST00000618779.4|ENST00000620200.4|ENST00000622503.4|ENST00000341065.8|ENST00000455979.1
ENSG00000187634.10_12	33	12	Complex Event	1:930336-935772	7-8,8-8	7-9	7-7	ENST00000420190.5|ENST00000437963.5|ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618323.4|ENST00000618779.4|ENST00000620200.4|ENST00000622503.4|ENST00000341065.8	ENST00000618181.4	ENST00000420190.5|ENST00000437963.5|ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618181.4|ENST00000618323.4|ENST00000618779.4|ENST00000620200.4|ENST00000622503.4|ENST00000341065.8
ENSG00000187634.10_13	33	13	Complex Event	1:931089-942410	9-9	8-27	7-7	ENST00000420190.5|ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618181.4|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8|ENST00000618323.4|ENST00000437963.5	ENST00000620200.4	ENST00000420190.5|ENST00000437963.5|ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618181.4|ENST00000618323.4|ENST00000618779.4|ENST00000620200.4|ENST00000622503.4|ENST00000341065.8
ENSG00000187634.10_14	33	14	Complex Event	1:930336-935772	8-9	7-9	9-9	ENST00000420190.5|ENST00000437963.5|ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618323.4|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8	ENST00000618181.4	ENST00000420190.5|ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618181.4|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8|ENST00000618323.4|ENST00000437963.5
ENSG00000187634.10_17	33	17	Complex Event	1:935805-941172	19-19,19-20	10-20	20-20	ENST00000474461.1|ENST00000342066.7|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8|ENST00000455979.1|ENST00000478729.1|ENST00000617307.4	ENST00000618323.4	ENST00000474461.1|ENST00000342066.7|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8|ENST00000455979.1|ENST00000478729.1|ENST00000617307.4|ENST00000618323.4
ENSG00000187634.10_18	33	18	Complex Event	1:941230-942410	20-21,21-21,21-23	20-27	20-20	ENST00000342066.7|ENST00000618323.4|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8|ENST00000455979.1|ENST00000478729.1|ENST00000474461.1	ENST00000617307.4	ENST00000474461.1|ENST00000342066.7|ENST00000618779.4|ENST00000622503.4|ENST00000341065.8|ENST00000455979.1|ENST00000478729.1|ENST00000617307.4|ENST00000618323.4
ENSG00000187634.10_21	33	21	Complex Event	1:942488-942559	27-28,28-28,28-29	27-29	27-27,29-29	ENST00000466827.1	ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618181.4|ENST00000618323.4|ENST00000618779.4|ENST00000620200.4|ENST00000622503.4|ENST00000341065.8|ENST00000455979.1|ENST00000474461.1|ENST00000464948.1	ENST00000464948.1|ENST00000466827.1|ENST00000342066.7|ENST00000616016.4|ENST00000616125.4|ENST00000617307.4|ENST00000618181.4|ENST00000618323.4|ENST00000618779.4|ENST00000620200.4|ENST00000622503.4|ENST00000341065.8|ENST00000455979.1|ENST00000474461.1
ENSG00000187961.13_2	34	2	Complex Event	1:961552-961629	5-6,6-6,6-7	5-7	5-5,7-7,7-8,8-8	ENST00000463212.1	ENST00000338591.7	ENST00000338591.7|ENST00000463212.1
ENSG00000187961.13_3	34	3	Complex Event	1:962047-962355	8-9,9-9,9-10	8-11	5-5,7-7,7-8,8-8	ENST00000463212.1	ENST00000338591.7	ENST00000338591.7|ENST00000463212.1
ENSG00000187961.13_4	34	4	Complex Event	1:960699-962082	8-9,9-9,9-10	2-10	10-10,10-11	ENST00000463212.1	ENST00000622660.1	ENST00000463212.1|ENST00000622660.1
ENSG00000187961.13_6	34	6	Alternative 5' Splice Site	1:962917-963109	14-15,15-15,15-16	14-16	14-14,16-16,16-17,17-17,17-19	ENST00000466300.1	ENST00000338591.7|ENST00000622660.1	ENST00000338591.7|ENST00000622660.1|ENST00000466300.1
ENSG00000187961.13_7	34	7	Alternative First Exon	1:962727-963920	14-14,16-16,16-17,17-17,17-19	18-18,18-19	19-19,19-20,20-20	ENST00000338591.7|ENST00000622660.1|ENST00000466300.1	ENST00000481067.1	ENST00000481067.1|ENST00000338591.7|ENST00000622660.1|ENST00000466300.1
ENSG00000187961.13_10	34	10	Complex Event	1:964167-964349	21-22,22-22,22-23	21-23	23-23,23-24,24-24	ENST00000338591.7	ENST00000622660.1	ENST00000338591.7|ENST00000622660.1
ENSG00000187961.13_13	34	13	Complex Event	1:960699-962082	2-3,3-3,3-4,4-4,4-5	2-10	2-2	ENST00000338591.7	ENST00000622660.1	ENST00000338591.7|ENST00000622660.1
ENSG00000187961.13_15	34	15	Complex Event	1:960699-962082	5-5,7-7,7-8,8-8	2-10	11-11	ENST00000338591.7|ENST00000463212.1	ENST00000622660.1	ENST00000463212.1|ENST00000622660.1|ENST00000338591.7
ENSG00000187961.13_16	34	16	Complex Event	1:962047-962355	10-10,10-11	8-11	11-11	ENST00000463212.1|ENST00000622660.1	ENST00000338591.7	ENST00000463212.1|ENST00000622660.1|ENST00000338591.7
ENSG00000187961.13_17	34	17	Alternative Last Exon	1:962471-962727	11-13,13-13,13-14	11-12,12-12	11-11	ENST00000338591.7|ENST00000622660.1	ENST00000463212.1	ENST00000463212.1|ENST00000622660.1|ENST00000338591.7
ENSG00000187583.10_2	36	2	Complex Event	1:970758-970879	6-7,7-7,7-8	6-9	2-2,2-3,3-3,3-4,4-4,4-5,5-5,5-6,6-6	ENST00000379409.6	ENST00000379410.7|ENST00000379407.7	ENST00000379410.7|ENST00000379407.7|ENST00000379409.6
ENSG00000187583.10_5	36	5	Complex Event	1:970758-970879	8-8,8-9	6-9	9-9,11-11,11-12,12-12	ENST00000379409.6|ENST00000480267.1	ENST00000379410.7|ENST00000379407.7	ENST00000379409.6|ENST00000480267.1|ENST00000379410.7|ENST00000379407.7
ENSG00000187583.10_6	36	6	Cassette Exon	1:971006-971113	9-10,10-10,10-11	9-11	9-9,11-11,11-12,12-12	ENST00000379407.7|ENST00000379409.6|ENST00000480267.1	ENST00000379410.7	ENST00000379409.6|ENST00000480267.1|ENST00000379410.7|ENST00000379407.7
ENSG00000187583.10_7	36	7	Alternative Last Exon	1:971404-973512	12-14,14-14,14-15,15-15,15-16,16-16,18-18,18-19	12-13,13-13	9-9,11-11,11-12,12-12	ENST00000379410.7|ENST00000379407.7|ENST00000379409.6	ENST00000480267.1	ENST00000379409.6|ENST00000480267.1|ENST00000379410.7|ENST00000379407.7
ENSG00000187583.10_8	36	8	Cassette Exon	1:973010-973500	16-17,17-17,17-18	16-18	12-14,14-14,14-15,15-15,15-16,16-16,18-18,18-19	ENST00000379410.7|ENST00000379409.6	ENST00000379407.7	ENST00000379410.7|ENST00000379407.7|ENST00000379409.6
ENSG00000187583.10_10	36	10	Alternative Last Exon	1:974588-975865	22-25,25-25	22-23,23-23	19-19,19-20,20-20,20-21,21-21,21-22,22-22	ENST00000491024.1	ENST00000379410.7|ENST00000379407.7|ENST00000379409.6	ENST00000379410.7|ENST00000379407.7|ENST00000379409.6|ENST00000491024.1
ENSG00000187608.8_2	37	2	Cassette Exon	1:1001263-1008194	2-3,3-3,3-4	2-4	2-2,4-4,4-6	ENST00000624697.3	ENST00000624652.1	ENST00000624697.3|ENST00000624652.1
ENSG00000187608.8_3	37	3	Alternative First Exon	1:1001145-1013984	2-2,4-4,4-6	5-5,5-6	6-6	ENST00000624697.3|ENST00000624652.1	ENST00000379389.4	ENST00000624697.3|ENST00000379389.4|ENST00000624652.1
ENSG00000188157.13_4	38	4	Alternative Last Exon	1:1046265-1047327	21-23,23-23,23-24,24-24,24-26	21-22,22-22	18-18,18-19,19-19,19-20,20-20,20-21,21-21	ENST00000379370.6|ENST00000620552.4	ENST00000479707.1	ENST00000379370.6|ENST00000620552.4|ENST00000479707.1
ENSG00000188157.13_5	38	5	Alternative First Exon	1:1046265-1047327	21-23,23-23,23-24,24-24,24-26	25-25,25-26	26-26,26-28	ENST00000379370.6|ENST00000620552.4	ENST00000466223.1	ENST00000466223.1|ENST00000379370.6|ENST00000620552.4
ENSG00000188157.13_6	38	6	Alternative First Exon	1:1047327-1047573	27-27,27-28	26-26,26-28	28-28,28-29,29-29	ENST00000478677.1	ENST00000466223.1|ENST00000379370.6|ENST00000620552.4	ENST00000478677.1|ENST00000379370.6|ENST00000620552.4|ENST00000466223.1
ENSG00000188157.13_9	38	9	Alternative First Exon	1:1047865-1048867	30-31,31-31,31-32,32-32,32-34	33-33,33-34	34-34,34-35,35-35	ENST00000379370.6|ENST00000620552.4	ENST00000492947.1	ENST00000492947.1|ENST00000379370.6|ENST00000620552.4
ENSG00000188157.13_12	38	12	Complex Event	1:1050837-1051253	42-43,43-43,43-44	42-44	41-41,41-42,42-42,44-44,44-45,45-45,45-46,46-46	ENST00000620552.4|ENST00000419249.1	ENST00000379370.6	ENST00000379370.6|ENST00000620552.4|ENST00000419249.1
ENSG00000188157.13_13	38	13	Complex Event	1:1051815-1053753	46-52	46-48	41-41,41-42,42-42,44-44,44-45,45-45,45-46,46-46	ENST00000379370.6	ENST00000620552.4|ENST00000419249.1	ENST00000379370.6|ENST00000620552.4|ENST00000419249.1
ENSG00000188157.13_16	38	16	Alternative First Exon	1:1051815-1051993	47-47,47-48	46-48	48-48,50-50	ENST00000461111.1	ENST00000620552.4|ENST00000419249.1	ENST00000461111.1|ENST00000620552.4|ENST00000419249.1
ENSG00000188157.13_17	38	17	Complex Event	1:1052016-1053461	48-49,49-49,49-50	48-50	48-48,50-50	ENST00000461111.1	ENST00000620552.4|ENST00000419249.1	ENST00000461111.1|ENST00000620552.4|ENST00000419249.1
ENSG00000188157.13_18	38	18	Complex Event	1:1053493-1053753	50-51,51-51,51-52	50-52	48-48,50-50	ENST00000461111.1	ENST00000620552.4|ENST00000419249.1	ENST00000461111.1|ENST00000620552.4|ENST00000419249.1
ENSG00000188157.13_19	38	19	Alternative First Exon	1:1050556-1051993	41-41,41-42,42-42,44-44,44-45,45-45,45-46,46-46	47-47,47-48	52-52	ENST00000379370.6|ENST00000620552.4|ENST00000419249.1	ENST00000461111.1	ENST00000461111.1|ENST00000379370.6|ENST00000620552.4|ENST00000419249.1
ENSG00000188157.13_20	38	20	Complex Event	1:1051815-1053753	48-48,50-50	46-52	52-52	ENST00000461111.1|ENST00000620552.4|ENST00000419249.1	ENST00000379370.6	ENST00000461111.1|ENST00000379370.6|ENST00000620552.4|ENST00000419249.1
ENSG00000217801.9_5	40	5	Alternative First Exon	1:1059734-1063079	1-1,1-2,2-2,2-4	3-3,3-4	4-4	ENST00000427998.5	ENST00000394517.6	ENST00000427998.5|ENST00000394517.6
ENSG00000217801.9_8	40	8	Complex Event	1:1064589-1065949	11-11,11-12	9-12	12-12	ENST00000427998.5|ENST00000456409.5|ENST00000433695.1|ENST00000394517.6	ENST00000451054.1	ENST00000427998.5|ENST00000456409.5|ENST00000433695.1|ENST00000394517.6|ENST00000451054.1
ENSG00000162571.13_2	46	2	Complex Event	1:1173926-1174285	3-4,4-4,4-5	3-5	5-5,5-6,6-6,6-8,8-8,8-9,9-9,9-10	ENST00000379290.5	ENST00000379289.5	ENST00000379290.5|ENST00000379289.5
ENSG00000162571.13_4	46	4	Complex Event	1:1185109-1196600	24-26,26-26,26-27	24-27	27-27,27-28,28-28,28-29,29-29	ENST00000486379.1	ENST00000379290.5|ENST00000379289.5	ENST00000379290.5|ENST00000379289.5|ENST00000486379.1
ENSG00000162571.13_8	46	8	Alternative Last Exon	1:1173926-1179697	5-5,5-6,6-6,6-8,8-8,8-9,9-9,9-10	3-7,7-7	3-3	ENST00000379290.5|ENST00000379289.5	ENST00000506177.1	ENST00000506177.1|ENST00000379290.5|ENST00000379289.5
ENSG00000162571.13_10	46	10	Alternative 3' Splice Site	1:1179737-1180034	10-11,11-11,11-12	10-12	10-10,12-12	ENST00000379288.3	ENST00000379290.5|ENST00000379289.5	ENST00000379290.5|ENST00000379289.5|ENST00000379288.3
ENSG00000162571.13_12	46	12	Alternative 5' Splice Site	1:1180601-1180731	14-15,15-15,15-16	14-16	14-14,16-16	ENST00000460998.1	ENST00000379290.5|ENST00000379289.5|ENST00000379288.3|ENST00000514695.1	ENST00000379290.5|ENST00000379289.5|ENST00000379288.3|ENST00000460998.1|ENST00000514695.1
ENSG00000162571.13_13	46	13	Alternative Last Exon	1:1180860-1183927	16-18,18-18,18-19,19-19,19-20,20-20,20-21,21-21	16-17,17-17	14-14,16-16	ENST00000379290.5|ENST00000379289.5|ENST00000379288.3|ENST00000460998.1	ENST00000514695.1	ENST00000379290.5|ENST00000379289.5|ENST00000379288.3|ENST00000460998.1|ENST00000514695.1
ENSG00000162571.13_15	46	15	Alternative Last Exon	1:1185109-1197475	27-27,27-28,28-28,28-29,29-29	24-25,25-25	24-24	ENST00000379290.5|ENST00000379289.5|ENST00000486379.1	ENST00000379288.3	ENST00000379288.3|ENST00000379290.5|ENST00000379289.5|ENST00000486379.1
ENSG00000230415.1_2	48	2	Alternative Last Exon	1:1279148-1280420	3-5,5-5	3-4,4-4	2-2,2-3,3-3	ENST00000434139.1	ENST00000453732.1	ENST00000434139.1|ENST00000453732.1
ENSG00000162572.19_4	49	4	Complex Event	1:1280666-1281226	6-6,6-7	3-7	7-7,9-9,9-15	ENST00000338555.6|ENST00000616713.4|ENST00000400928.7	ENST00000379116.9|ENST00000379101.8	ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000379116.9|ENST00000379101.8
ENSG00000162572.19_5	49	5	Complex Event	1:1281297-1281411	7-8,8-8,8-9	7-9	7-7,9-9,9-15	ENST00000338555.6	ENST00000379116.9|ENST00000379101.8|ENST00000616713.4|ENST00000400928.7	ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000379116.9|ENST00000379101.8
ENSG00000162572.19_6	49	6	Alternative First Exon	1:1281925-1282117	11-11,11-12	10-10,10-12	12-12,12-13	ENST00000325425.12	ENST00000470022.1	ENST00000325425.12|ENST00000470022.1
ENSG00000162572.19_7	49	7	Complex Event	1:1281226-1282242	13-14,14-14,14-15	7-7,9-9,9-15	15-15,15-16	ENST00000470022.1|ENST00000325425.12	ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000379116.9|ENST00000379101.8	ENST00000325425.12|ENST00000470022.1|ENST00000379116.9|ENST00000379101.8|ENST00000338555.6|ENST00000616713.4|ENST00000400928.7
ENSG00000162572.19_10	49	10	Retained Intron	1:1287596-1287673	25-26,26-26,26-27	25-27	25-25,27-27,27-28,28-28,28-29,29-29,29-30,30-30,30-31,31-31,31-32,32-32	ENST00000379099.3	ENST00000379116.9|ENST00000379101.8|ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000325425.12	ENST00000379099.3|ENST00000379116.9|ENST00000379101.8|ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000325425.12
ENSG00000162572.19_16	49	16	Complex Event	1:1280666-1281226	3-4,4-4,4-5	3-7	3-3	ENST00000338555.6	ENST00000379116.9|ENST00000379101.8	ENST00000379116.9|ENST00000379101.8|ENST00000338555.6
ENSG00000162572.19_18	49	18	Complex Event	1:1282187-1282276	13-14,14-14,14-15	13-16	13-13	ENST00000470022.1|ENST00000325425.12	ENST00000467651.2	ENST00000325425.12|ENST00000470022.1|ENST00000467651.2
ENSG00000162572.19_19	49	19	Complex Event	1:1281226-1282242	7-7,9-9,9-15	13-13	16-16,18-18	ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000379116.9|ENST00000379101.8	ENST00000325425.12|ENST00000470022.1|ENST00000467651.2	ENST00000325425.12|ENST00000470022.1|ENST00000379116.9|ENST00000379101.8|ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000467651.2
ENSG00000162572.19_20	49	20	Complex Event	1:1282187-1282276	15-15,15-16	13-16	16-16,18-18	ENST00000325425.12|ENST00000470022.1|ENST00000379116.9|ENST00000379101.8|ENST00000338555.6|ENST00000616713.4|ENST00000400928.7	ENST00000467651.2	ENST00000325425.12|ENST00000470022.1|ENST00000379116.9|ENST00000379101.8|ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000467651.2
ENSG00000162572.19_21	49	21	Alternative 3' Splice Site	1:1282315-1283978	16-17,17-17,17-18	16-18	16-16,18-18	ENST00000470022.1	ENST00000379116.9|ENST00000379101.8|ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000325425.12|ENST00000467651.2	ENST00000325425.12|ENST00000470022.1|ENST00000379116.9|ENST00000379101.8|ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000467651.2
ENSG00000162572.19_22	49	22	Complex Event	1:1284090-1285926	18-19,19-19	18-21	16-16,18-18	ENST00000379116.9|ENST00000616713.4|ENST00000325425.12|ENST00000467651.2	ENST00000379101.8|ENST00000338555.6|ENST00000400928.7|ENST00000470022.1	ENST00000325425.12|ENST00000470022.1|ENST00000379116.9|ENST00000379101.8|ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000467651.2
ENSG00000162572.19_24	49	24	Complex Event	1:1284090-1285926	19-20,20-20,20-21	18-21	21-21	ENST00000379116.9|ENST00000616713.4|ENST00000325425.12	ENST00000379101.8|ENST00000338555.6|ENST00000400928.7|ENST00000470022.1	ENST00000379116.9|ENST00000379101.8|ENST00000338555.6|ENST00000616713.4|ENST00000400928.7|ENST00000325425.12|ENST00000470022.1
ENSG00000169972.11_2	50	2	Complex Event	1:1308720-1308915	4-4,4-5	2-5	5-5,5-6	ENST00000463758.1|ENST00000467712.1	ENST00000379031.9	ENST00000463758.1|ENST00000467712.1|ENST00000379031.9
ENSG00000169972.11_3	50	3	Complex Event	1:1308720-1309086	5-5,5-6	2-6	6-6,6-7	ENST00000463758.1|ENST00000467712.1|ENST00000379031.9	ENST00000470520.5	ENST00000463758.1|ENST00000379031.9|ENST00000470520.5|ENST00000467712.1
ENSG00000169972.11_4	50	4	Complex Event	1:1308611-1308915	4-4,4-5	2-2	6-6,6-7	ENST00000463758.1|ENST00000467712.1	ENST00000379031.9|ENST00000470520.5	ENST00000463758.1|ENST00000379031.9|ENST00000470520.5|ENST00000467712.1
ENSG00000169972.11_5	50	5	Retained Intron	1:1309603-1309681	9-10,10-10,10-11	9-11	11-11,11-12	ENST00000463758.1|ENST00000493657.1	ENST00000379031.9|ENST00000467712.1	ENST00000463758.1|ENST00000493657.1|ENST00000379031.9|ENST00000467712.1
ENSG00000169972.11_9	50	9	Complex Event	1:1308720-1309086	2-6	2-5	2-2	ENST00000470520.5	ENST00000379031.9	ENST00000379031.9|ENST00000470520.5
